,age,education,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,income
0,3,HS-grad,Widowed,,Not-in-family,Female,0,1,1,<=50K
1,3,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,0,1,0,<=50K
2,3,Some-college,Widowed,,Unmarried,Female,0,1,1,<=50K
3,3,7th-8th,Divorced,Machine-op-inspct,Unmarried,Female,0,1,1,<=50K
4,2,Some-college,Separated,Prof-specialty,Own-child,Female,0,1,1,<=50K
5,1,HS-grad,Divorced,Other-service,Unmarried,Female,0,1,2,<=50K
6,2,10th,Separated,Adm-clerical,Unmarried,Male,0,1,1,<=50K
7,3,Doctorate,Never-married,Prof-specialty,Other-relative,Female,0,1,0,>50K
8,3,HS-grad,Divorced,Prof-specialty,Not-in-family,Female,0,1,1,<=50K
9,2,Some-college,Never-married,Craft-repair,Unmarried,Male,0,1,2,>50K
10,2,Doctorate,Divorced,Prof-specialty,Unmarried,Female,0,1,0,>50K
11,2,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,0,1,2,>50K
12,3,Bachelors,Widowed,Other-service,Not-in-family,Female,0,1,0,>50K
13,1,Masters,Separated,Exec-managerial,Not-in-family,Male,0,1,2,>50K
14,3,Doctorate,Never-married,,Not-in-family,Male,0,1,1,>50K
15,2,Prof-school,Divorced,Prof-specialty,Not-in-family,Male,0,1,1,>50K
16,2,11th,Divorced,Transport-moving,Not-in-family,Male,0,1,2,>50K
17,3,Masters,Divorced,Exec-managerial,Not-in-family,Male,0,1,2,>50K
18,0,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Male,0,1,1,>50K
19,1,Bachelors,Separated,Sales,Not-in-family,Male,0,1,2,>50K
20,1,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,0,1,1,>50K
21,1,11th,Separated,Sales,Not-in-family,Female,0,1,2,<=50K
22,3,HS-grad,Divorced,Sales,Unmarried,Female,0,1,0,<=50K
23,3,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
24,3,HS-grad,Married-civ-spouse,,Husband,Male,0,1,0,<=50K
25,0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
26,1,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,Male,0,1,0,<=50K
27,3,5th-6th,Married-civ-spouse,Other-service,Husband,Male,0,1,1,<=50K
28,1,10th,Never-married,Transport-moving,Not-in-family,Male,0,1,2,>50K
29,2,10th,Never-married,Prof-specialty,Not-in-family,Male,0,1,2,>50K
30,0,Some-college,Separated,Other-service,Not-in-family,Male,0,1,1,>50K
31,3,10th,Widowed,Exec-managerial,Unmarried,Female,0,1,2,>50K
32,3,Prof-school,Divorced,Exec-managerial,Not-in-family,Male,0,1,2,>50K
33,3,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,0,1,2,>50K
34,3,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,0,1,2,>50K
35,3,Doctorate,Divorced,Exec-managerial,Not-in-family,Female,0,1,2,>50K
36,3,HS-grad,Never-married,Sales,Not-in-family,Male,0,1,2,>50K
37,3,Prof-school,Never-married,Prof-specialty,Not-in-family,Female,0,1,2,>50K
38,1,Doctorate,Never-married,Prof-specialty,Not-in-family,Female,0,1,2,>50K
39,3,Masters,Divorced,Prof-specialty,Not-in-family,Female,0,1,1,>50K
40,2,Bachelors,Divorced,Exec-managerial,Unmarried,Male,0,1,2,>50K
41,2,Masters,Divorced,Exec-managerial,Unmarried,Female,0,1,1,>50K
42,3,Some-college,Divorced,Adm-clerical,Unmarried,Female,0,1,1,>50K
43,2,Masters,Divorced,Prof-specialty,Unmarried,Female,0,1,1,>50K
44,3,HS-grad,Married-civ-spouse,,Husband,Male,0,1,0,<=50K
45,2,Bachelors,Married-spouse-absent,Sales,Unmarried,Female,0,1,2,>50K
46,3,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
47,3,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,1,<=50K
48,3,Some-college,Married-civ-spouse,,Wife,Female,0,1,1,<=50K
49,3,Some-college,Married-civ-spouse,,Husband,Male,0,1,1,<=50K
50,2,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,0,1,2,>50K
51,3,HS-grad,Widowed,Sales,Not-in-family,Female,0,1,2,>50K
52,3,Assoc-voc,Divorced,Tech-support,Not-in-family,Male,0,1,0,>50K
53,2,Some-college,Never-married,Exec-managerial,Not-in-family,Female,0,1,1,>50K
54,2,Masters,Never-married,Sales,Not-in-family,Male,0,1,2,>50K
55,1,Bachelors,Never-married,Exec-managerial,Other-relative,Male,0,1,2,>50K
56,3,Some-college,Separated,Craft-repair,Not-in-family,Male,0,1,2,>50K
57,2,Some-college,Never-married,Protective-serv,Not-in-family,Male,0,1,1,>50K
58,2,Bachelors,Never-married,Sales,Not-in-family,Female,0,1,2,>50K
59,1,Assoc-voc,Separated,Craft-repair,Not-in-family,Male,0,1,2,>50K
60,2,Assoc-acdm,Divorced,Craft-repair,Not-in-family,Male,0,1,2,>50K
61,3,11th,Never-married,Exec-managerial,Other-relative,Male,0,1,1,>50K
62,2,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,0,>50K
63,3,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,1,>50K
64,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,>50K
65,3,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1,2,>50K
66,1,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
67,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,>50K
68,2,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
69,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
70,3,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
71,2,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
72,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
73,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
74,2,Masters,Married-civ-spouse,Exec-managerial,Wife,Female,0,1,2,>50K
75,2,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
76,2,Assoc-voc,Married-civ-spouse,,Husband,Male,0,1,0,>50K
77,2,Masters,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
78,2,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
79,1,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
80,2,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
81,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
82,1,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
83,3,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,1,>50K
84,1,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
85,2,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
86,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
87,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
88,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
89,2,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
90,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
91,2,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,1,>50K
92,2,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,2,>50K
93,3,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,2,>50K
94,1,HS-grad,Married-civ-spouse,Other-service,Wife,Female,0,1,1,>50K
95,2,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,0,1,0,>50K
96,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
97,2,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,>50K
98,2,Prof-school,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
99,3,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
100,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
